case_id	category	AMIX	BMIX	MAGMOM	ALGO	NELM	EDIFFG	ISIF	SMASS	POTIM	KPAR	NCORE	KPOINTS_densify	ICHARG	wall_seconds	scf_steps_attempted	final_scf_accuracy_Ry	max_negative_rho	notes
comp_comp_0072_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										28620	100	3.712606e-02	7.602000e-02	
comp_comp_0073_II	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										0	100	4.912789e+00	1.847000e-01	
comp_comp_0106_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										33420	100	1.818517e+02	1.030000e-01	
comp_comp_0113_III	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										29940	100	1.914150e-03	1.159000e-01	
comp_comp_0125_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										30120	100	1.251470e+02	1.322000e-01	
comp_comp_0126_III	C	mixing_beta=0.1	conv_thr=1.0d-5				force_thr=1.0d-4								39300	100	4.202000e+03	3.072000e+03	
comp_comp_0132_IV	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										31080	100	1.229537e+01	1.363000e-01	
comp_comp_0134_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										30180	100	9.053720e-03	7.644000e-02	
comp_comp_0154_II	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										29400	100	4.659132e-02	1.146000e-01	
comp_comp_0184_II	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										31440	100	2.783753e-01	1.158000e-01	
comp_comp_0185_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										34740	100	2.852087e+02	1.183000e-01	
comp_comp_0218_III	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										34080	100	6.195525e+01	1.762000e-01	
comp_comp_0223_III	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										29400	100	8.452946e+00	1.343000e-01	
comp_comp_0255_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										33660	100	1.514059e+02	1.329000e-01	
comp_comp_0257_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										35400	100	1.270405e+01	1.061000e-01	
comp_comp_0272_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										30900	100	3.681082e+00	1.195000e-01	
comp_comp_0318_I	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										35040	100	2.319282e+02	1.646000e-01	
comp_comp_0320_IV	A	mixing_beta=0.2	electron_maxstep=200		diagonalization=Dav										0	100	2.140824e+02	2.436000e-01	
comp_comp_0393_III	C	mixing_beta=0.1	conv_thr=1.0d-5				force_thr=1.0d-4								38220	100	2.823820e+03	3.068000e+03	
