element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Cr-Ni,"{""Cr"": 25.0, ""Ni"": 75.0}",BCT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.0402,,4.3952,,3.4987,,4.3283,,1.3856,,,0.0,,MP-mp-1007923-2d88e43e8104,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1007923, CrNi3, spacegroup=I4/mmm"
Cr-Ni,"{""Cr"": 25.0, ""Ni"": 75.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,0.008,,4.363,,3.5446,,,,1.3856,,,0.0,,MP-mp-1007974-f8175b5e016e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1007974, CrNi3, spacegroup=Pm-3m"
Cr-Ni,"{""Cr"": 25.0, ""Ni"": 75.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,0.1248,,4.4798,,3.9854,,,,1.3856,,,0.0,,MP-mp-1007975-33e13daa7f4e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1007975, CrNi3, spacegroup=Fm-3m"
Cr-Ni,"{""Cr"": 25.0, ""Ni"": 75.0}",TRIGONAL,PBE,520.0,8x8x8,PAW_PBE,VASP,0.0686,,4.4236,,8.3115,,,,1.3856,,,0.0,,MP-mp-1226338-3d8869f8a81c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1226338, CrNi3, spacegroup=R-3m"
Mo-Nb,"{""Mo"": 50.0, ""Nb"": 50.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.0686,,7.1264,,2.8122,,4.5254,,2.4561,,,0.0,,MP-mp-1220327-e61616c398f2,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1220327, NbMo, spacegroup=Cmmm"
Nb-U-Zr,"{""Nb"": 33.3, ""U"": 33.3, ""Zr"": 33.3}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,0.16,,6.6102,,7.8446,7.5835,3.0411,,3.8265,,,0.0,,MP-mp-1215196-0bf457590163,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215196, ZrUNb, spacegroup=Fmm2"
U,"{""O"": 31.2, ""U"": 68.8}",TRI,PBE,520.0,8x8x8,PAW_PBE,VASP,-1.4247,,3.1986,,3.319,7.9695,11.7122,,35.2864,,,0.0,,MP-mp-673671-66b42fd35b95,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-673671, U11O5, spacegroup=P1"
U,"{""O"": 61.3, ""U"": 38.7}",TRIGONAL,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.3183,,0.4111,,3.8501,,37.028,,48.1288,,,0.0,,MP-mp-684907-6e10f3deacc0,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-684907, U12O19, spacegroup=P3m1"
U,"{""O"": 72.3, ""U"": 27.7}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.693,,-0.2903,,25.6234,,4.1644,,49.6138,,,0.0,,MP-mp-642328-d8bdd00ec593,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-642328, U13O34, spacegroup=Amm2"
U,"{""O"": 64.6, ""U"": 35.4}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.6424,,-0.011,,8.6177,,22.0929,,48.8467,,,0.0,,MP-mp-674332-e28d14b84db8,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-674332, U17O31, spacegroup=Cm"
U,"{""O"": 71.4, ""U"": 28.6}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.699,,-0.2696,,4.1588,6.9632,30.9607,,49.6037,,,0.0,,MP-mp-647814-0d5c7bb3bd1b,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-647814, U2O5, spacegroup=Pbam"
U,"{""O"": 71.4, ""U"": 28.6}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.5376,,-0.1082,,3.8406,,19.3942,,49.6037,,,0.0,,MP-mp-1100983-bda12a6c0789,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1100983, U2O5, spacegroup=C2/m"
U,"{""O"": 76.9, ""U"": 23.1}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.1445,,0.1216,,19.1041,6.9796,7.3555,,49.2374,,,0.0,,MP-mp-728122-2edae1d42170,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-728122, U3O10, spacegroup=P2_1/c"
U,"{""O"": 76.9, ""U"": 23.1}",TRI,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.156,,0.1101,,5.596,5.8554,7.2911,,49.2374,,,0.0,,MP-mp-729279-93543841bc0a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-729279, U3O10, spacegroup=P-1"
U,"{""O"": 76.9, ""U"": 23.1}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.0055,,0.2606,,20.4451,5.8813,7.9987,,49.2374,,,0.0,,MP-mp-1179123-f5eda8d28185,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1179123, U3O10, spacegroup=P2_1/c"
U,"{""O"": 76.9, ""U"": 23.1}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.0532,,0.2129,,5.8573,19.8588,8.2351,,49.2374,,,0.0,,MP-mp-1200254-cb5905ca934b,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1200254, U3O10, spacegroup=P2_1/c"
U,"{""O"": 78.6, ""U"": 21.4}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-2.456,,0.7596,,10.0466,,,,48.8828,,,0.0,,MP-mp-1193479-79592152ec2f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1193479, U3O11, spacegroup=Immm"
U,"{""O"": 62.5, ""U"": 37.5}",TRIGONAL,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.4278,,0.266,,3.8269,,9.4473,,48.4123,,,0.0,,MP-mp-752998-dee4680e5a83,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-752998, U3O5, spacegroup=P3m1"
U,"{""O"": 70.0, ""U"": 30.0}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.5522,,-0.0812,,6.5692,,,,49.5414,,,0.0,,MP-mp-1216910-3ece3d57d589,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1216910, U3O7, spacegroup=Immm"
U,"{""O"": 72.7, ""U"": 27.3}",HCP,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.7068,,-0.316,,6.7935,,4.1329,,49.6103,,,0.0,,MP-mp-308-4ff4ca6cd4a3,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-308, U3O8, spacegroup=P-62m"
U,"{""O"": 72.7, ""U"": 27.3}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.7066,,-0.3158,,6.7338,,4.1359,,49.6103,,,0.0,,MP-mp-698-2026e6ec5db7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-698, U3O8, spacegroup=Cmmm"
U,"{""O"": 72.7, ""U"": 27.3}",TRIGONAL,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.4613,,-0.0705,,6.4711,,4.1754,,49.6103,,,0.0,,MP-mp-548170-e2d288e3d4c1,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-548170, U3O8, spacegroup=P-31m"
U,"{""O"": 72.7, ""U"": 27.3}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.7066,,-0.3158,,6.7327,,8.2725,,49.6103,,,0.0,,MP-mp-559906-9cd34ca43902,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-559906, U3O8, spacegroup=Cmcm"
U,"{""O"": 72.7, ""U"": 27.3}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.7097,,-0.3189,,6.7449,,8.3076,,49.6103,,,0.0,,MP-mp-560402-427ff94db764,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-560402, U3O8, spacegroup=Cmcm"
U,"{""O"": 72.7, ""U"": 27.3}",ORT,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.7062,,-0.3154,,4.1602,6.7773,6.8729,,49.6103,,,0.0,,MP-mp-1102356-cc34e34990ff,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1102356, U3O8, spacegroup=Amm2"
U,"{""O"": 63.6, ""U"": 36.4}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.5217,,0.1394,,6.6514,,10.8536,,48.65,,,0.0,,MP-mp-754893-8d4d2d3c5304,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-754893, U4O7, spacegroup=C2/c"
U,"{""O"": 68.8, ""U"": 31.2}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.6125,,-0.1058,,3.8336,,15.7282,,49.4461,,,0.0,,MP-mp-684934-40a857e2d8df,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-684934, U5O11, spacegroup=C2/m"
U,"{""O"": 64.7, ""U"": 35.3}",MON,PBE,520.0,8x8x8,PAW_PBE,VASP,-3.6059,,0.0225,,6.6617,,,,48.8653,,,0.0,,MP-mp-761153-93b71c2438a0,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-761153, U6O11, spacegroup=Cm"
U,"{""O"": 50.0, ""U"": 50.0}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,-2.6085,,1.4565,,3.4389,,,,44.4444,,,0.0,,MP-mp-7830-88abea669058,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-7830, UO, spacegroup=Fm-3m"
U,"{""O"": 91.7, ""U"": 8.3}",TRI,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.8265,,2.0,,5.4792,6.9867,8.3184,,38.9664,,,0.0,,MP-mp-1103007-8540b6ddd503,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1103007, UO11, spacegroup=P1"
U,"{""O"": 91.7, ""U"": 8.3}",TRI,PBE,520.0,8x8x8,PAW_PBE,VASP,-0.9177,,1.9088,,5.9573,7.1087,8.2095,,38.9664,,,0.0,,MP-mp-1178875-c93013ebb1b8,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1178875, UO11, spacegroup=P1"
