element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Ni-U,"{""Ni"": 66.7, ""U"": 33.3}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.0535,,4.5632,,4.9223,,8.1361,,11.1998,,,0.0,,MP-LDA-mp-17023-59a824706e5a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-17023, UNi2, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Ni-U,"{""Ni"": 66.7, ""U"": 33.3}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.3965,,4.5632,,4.9223,,8.1361,,11.1998,,,0.0,,MP-PBESOL-mp-17023-59a824706e5a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-17023, UNi2, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Ni-U,"{""Ni"": 83.3, ""U"": 16.7}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.0367,,4.3621,,4.7303,,,,9.2275,,,0.0,,MP-LDA-mp-2838-5b10d9fc1259,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2838, UNi5, spacegroup=F-43m; LDA variant (E_corr=+0.30 eV)"
Ni-U,"{""Ni"": 83.3, ""U"": 16.7}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.4133,,4.3621,,4.7303,,,,9.2275,,,0.0,,MP-PBESOL-mp-2838-5b10d9fc1259,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2838, UNi5, spacegroup=F-43m; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 20.0, ""U"": 80.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,1.0434,,6.0614,,6.7358,,,,8.2777,,,0.0,,MP-LDA-mp-1208177-84f1ec133caa,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1208177, U4Co, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Co-U,"{""Co"": 20.0, ""U"": 80.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.5934,,6.0614,,6.7358,,,,8.2777,,,0.0,,MP-PBESOL-mp-1208177-84f1ec133caa,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1208177, U4Co, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 14.3, ""U"": 85.7}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.2969,,5.3811,,7.6692,,,,7.16,,,0.0,,MP-LDA-mp-582635-30172bb9c9d3,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-582635, U6Co, spacegroup=I4/mcm; LDA variant (E_corr=+0.30 eV)"
Co-U,"{""Co"": 14.3, ""U"": 85.7}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.1531,,5.3811,,7.6692,,,,7.16,,,0.0,,MP-PBESOL-mp-582635-30172bb9c9d3,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-582635, U6Co, spacegroup=I4/mcm; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 50.0, ""U"": 50.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.1465,,4.8165,,5.4215,,,,11.032,,,0.0,,MP-LDA-mp-1080107-0a8b01d3f893,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1080107, UCo, spacegroup=I2_13; LDA variant (E_corr=+0.30 eV)"
Co-U,"{""Co"": 50.0, ""U"": 50.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.3035,,4.8165,,5.4215,,,,11.032,,,0.0,,MP-PBESOL-mp-1080107-0a8b01d3f893,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1080107, UCo, spacegroup=I2_13; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 66.7, ""U"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.191,,4.6673,,4.8663,,,,10.7963,,,0.0,,MP-LDA-mp-1383-b8573fec5c7a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1383, UCo2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Co-U,"{""Co"": 66.7, ""U"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.259,,4.6673,,4.8663,,,,10.7963,,,0.0,,MP-PBESOL-mp-1383-b8573fec5c7a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1383, UCo2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 75.0, ""U"": 25.0}",TRIGONAL,LDA,600.0,8x8x8,PAW_PBE,VASP,0.2394,,4.6194,,4.7947,,8.5805,,10.1118,,,0.0,,MP-LDA-mp-1102468-c12d6ad1c32c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1102468, UCo3, spacegroup=R-3m; LDA variant (E_corr=+0.30 eV)"
