element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Mo-Ti-U,"{""Mo"": 13.0, ""Ti"": 12.0, ""U"": 75.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.2204,,-2.2428,,3.3928,,,,8.9454,,,,,SUPPL-CALPHAD-56a057b327e6,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Ti-U,"{""Mo"": 18.0, ""Ti"": 12.0, ""U"": 70.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.1384,,-1.8996,,3.3785,,,,8.4714,,,,,SUPPL-CALPHAD-039b93fe9788,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 2.0, ""Nb"": 1.0, ""Ti"": 1.0, ""U"": 96.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-0.8185,,-1.4398,,3.4596,,,,10.5776,,,,,SUPPL-CALPHAD-b92144f59e56,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 5.0, ""Nb"": 3.0, ""Ti"": 2.0, ""U"": 90.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-0.7373,,-1.762,,3.4303,,,,10.1779,,,,,SUPPL-CALPHAD-36855060ad70,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 8.0, ""Nb"": 4.0, ""Ti"": 3.0, ""U"": 85.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-0.9015,,-1.419,,3.4472,,,,9.7694,,,,,SUPPL-CALPHAD-a1dc8996270c,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 10.0, ""Nb"": 5.0, ""Ti"": 5.0, ""U"": 80.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.1405,,-2.0485,,3.4337,,,,9.3091,,,,,SUPPL-CALPHAD-7dd952a12498,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 12.0, ""Nb"": 6.0, ""Ti"": 7.0, ""U"": 75.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.1171,,-2.0959,,3.4117,,,,9.007,,,,,SUPPL-CALPHAD-b724adee83aa,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 15.0, ""Nb"": 8.0, ""Ti"": 7.0, ""U"": 70.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-0.9415,,-1.5308,,3.4006,,,,8.5255,,,,,SUPPL-CALPHAD-31dd8d8f4da4,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 18.0, ""Nb"": 9.0, ""Ti"": 8.0, ""U"": 65.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.474,,-2.6406,,3.3737,,,,8.1478,,,,,SUPPL-CALPHAD-a4ed57de84f9,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 20.0, ""Nb"": 10.0, ""Ti"": 10.0, ""U"": 60.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.4072,,-3.1638,,3.3896,,,,7.7962,,,,,SUPPL-CALPHAD-22cff65210b6,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 22.0, ""Nb"": 12.0, ""Ti"": 11.0, ""U"": 55.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.4157,,-2.9048,,3.378,,,,7.3405,,,,,SUPPL-CALPHAD-95b1f2b54474,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
Mo-Nb-Ti-U,"{""Mo"": 25.0, ""Nb"": 13.0, ""Ti"": 12.0, ""U"": 50.0}",BCC_A2,CALPHAD,0.0,N/A,,CALPHAD,-1.4924,,-2.9907,,3.3666,,,,6.9022,,,,,SUPPL-CALPHAD-b0f93aace57d,,2026-07-19,CALPHAD phase diagram estimate (Vegard's law + Miedema model)
