element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
U-Zr,"{""U"": 10, ""Zr"": 90.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-1.4601,0.098,-5.0951,0.123,3.2467,,,0.0177,2.157,0.0253,,,,INCR-1dc90d1f9a-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 25, ""Zr"": 75.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-1.6499,0.085,-5.8597,0.041,3.2986,,,0.0093,1.7886,0.0223,,,,INCR-1b1f5c60c9-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 40, ""Zr"": 60.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.4138,0.033,-6.2797,0.101,3.3713,,,0.0199,1.4819,0.0051,,,,INCR-758ff8f27f-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 50, ""Zr"": 50.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.0293,0.063,-6.9516,0.128,3.3229,,,0.0136,1.32,0.0271,,,,INCR-3fc686f6ef-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 60, ""Zr"": 40.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.9129,0.068,-7.1513,0.032,3.4214,,,0.0086,1.6139,0.0294,,,,INCR-8db5a1ab67-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 75, ""Zr"": 25.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-3.2264,0.094,-7.3332,0.132,3.4028,,,0.0076,1.9366,0.0287,,,,INCR-3e7fa5c029-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
U-Zr,"{""U"": 90, ""Zr"": 10.0}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-3.1247,0.056,-7.3147,0.096,3.4811,,,0.0161,2.2235,0.0065,,,,INCR-2e06b4d5d0-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for improved band structure accuracy
Mo-U,"{""Mo"": 45.0, ""U"": 55}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.5401,0.054,-6.3304,0.111,3.2861,,,0.007,6.2863,0.0237,,,,INCR-93e32809dc-hse06,10.1016/j.jnucmat.2026.01.001,20260721,"HSE06 hybrid functional, gamma-point sampling"
Mo-U,"{""Mo"": 35.0, ""U"": 65}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.7946,0.055,-7.3657,0.044,3.3628,,,0.0132,7.2794,0.0292,,,,INCR-31bd539ab9-hse06,10.1016/j.jnucmat.2026.01.001,20260721,"HSE06 hybrid functional, gamma-point sampling"
Mo-U,"{""Mo"": 25.0, ""U"": 75}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.7212,0.044,-7.2695,0.055,3.3858,,,0.0099,8.3328,0.0276,,,,INCR-c105f08346-hse06,10.1016/j.jnucmat.2026.01.001,20260721,"HSE06 hybrid functional, gamma-point sampling"
Mo-U,"{""Mo"": 15.0, ""U"": 85}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-3.3668,0.023,-7.7032,0.1,3.4447,,,0.02,9.4162,0.0216,,,,INCR-21288b1221-hse06,10.1016/j.jnucmat.2026.01.001,20260721,"HSE06 hybrid functional, gamma-point sampling"
Mo-U,"{""Mo"": 5.0, ""U"": 95}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-3.7072,0.075,-7.8388,0.136,3.4245,,,0.0188,10.3982,0.0096,,,,INCR-7c42e31891-hse06,10.1016/j.jnucmat.2026.01.001,20260721,"HSE06 hybrid functional, gamma-point sampling"
Nb-U,"{""Nb"": 45.0, ""U"": 55}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.1246,0.094,-6.9754,0.107,3.4446,,,0.0112,3.6771,0.0175,,,,INCR-d362f4d386-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for Nb-rich compositions
Nb-U,"{""Nb"": 35.0, ""U"": 65}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.3163,0.037,-6.6861,0.147,3.445,,,0.0063,4.2725,0.0282,,,,INCR-53a34e0bc6-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for Nb-rich compositions
Nb-U,"{""Nb"": 25.0, ""U"": 75}",BCC,HSE06,600.0,6x6x6,PAW_PBE,VASP,-2.6906,0.061,-7.694,0.047,3.4238,,,0.0156,4.9529,0.011,,,,INCR-3055d9c2a4-hse06,10.1016/j.jnucmat.2026.01.001,20260721,HSE06 hybrid functional for Nb-rich compositions
U-Zr,"{""U"": 30, ""Zr"": 70.0}",BCC,PBE,600.0,12x12x12,PAW_PBE,VASP,-1.497,0.077,-6.1824,0.086,3.3013,,,0.0163,1.8371,0.024,,,,INCR-d366ef0380,10.1016/j.jnucmat.2026.01.001,20260721,High-kpoint convergence test (12x12x12)
U-Zr,"{""U"": 50, ""Zr"": 50.0}",BCC,PBE,600.0,12x12x12,PAW_PBE,VASP,-2.128,0.042,-6.4729,0.134,3.3832,,,0.0064,1.234,0.0244,,,,INCR-3fc686f6ef,10.1016/j.jnucmat.2026.01.001,20260721,High-kpoint convergence test (12x12x12)
U-Zr,"{""U"": 70, ""Zr"": 30.0}",BCC,PBE,600.0,12x12x12,PAW_PBE,VASP,-2.7014,0.031,-6.7544,0.03,3.4055,,,0.0077,1.8281,0.0149,,,,INCR-af9452bd51,10.1016/j.jnucmat.2026.01.001,20260721,High-kpoint convergence test (12x12x12)
Mo-U,"{""Mo"": 30.0, ""U"": 70}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,-2.4539,0.088,-6.8174,0.144,3.3895,,,0.0176,7.9527,0.0284,600,,,INCR-d36f464a99,10.1016/j.jnucmat.2026.01.001,20260721,Finite-temperature DFT at 600K
Mo-U,"{""Mo"": 15.0, ""U"": 85}",BCC,PBE,520.0,8x8x8,PAW_PBE,VASP,-2.9939,0.057,-7.4939,0.12,3.4567,,,0.0054,9.4106,0.0266,600,,,INCR-21288b1221,10.1016/j.jnucmat.2026.01.001,20260721,Finite-temperature DFT at 600K
