composition_json,cluster_type,label,mo_equivalent,pauling_chi_diff,allen_chi_diff,config_entropy,bv_ratio,u_density,mixing_enthalpy,lattice_distortion,type_I,type_II,type_III,type_IV
"{""Mo"": 0.119, ""U"": 0.881}",I,H,0.119,0.09282000000000003,0.078421,3.034009852680284,11.30718365737366,18.24456452234381,-0.524195,0.035748226623397175,1.0,0.0,0.0,0.0
"{""U"": 0.975674, ""V"": 0.024326}",III,H,0.05886892,0.0060815,0.010362875999999998,0.9513561162600696,9.29910821668113,18.845219583020572,0.47468491448000005,0.0218010919835317,0.0,0.0,1.0,0.0
"{""Al"": 0.011151000000000001, ""Ta"": 0.060583, ""U"": 0.928266}",IV,H,0.0,0.009834690000000009,0.019218855,2.403525392758504,9.521556548873384,18.783533104361993,0.87290421576,0.021633233143656574,0.0,0.0,0.0,1.0
"{""Al"": 0.017058, ""Nb"": 0.040827999999999996, ""U"": 0.942114}",IV,H,0.04613563999999999,0.01290550000000001,0.024035002,2.130100817345627,9.294052916655469,18.457949493346437,0.31572290436000006,0.019554975953728324,0.0,0.0,0.0,1.0
"{""Mo"": 0.051737, ""U"": 0.948263}",I,H,0.051737,0.04035486000000001,0.034094683,1.6927164046548613,10.029782490469989,18.71014476076921,-0.245301414155,0.024274194665693007,1.0,0.0,0.0,0.0
"{""Mo"": 0.110099, ""U"": 0.781239, ""Zr"": 0.108662}",I,M,0.2296272,0.09131032000000001,0.091353767,5.628280129539318,10.883599484930542,16.76445505128038,0.13909567769299988,0.036307437714815365,1.0,0.0,0.0,0.0
"{""Ta"": 0.031272, ""U"": 0.968728}",I,H,0.0,0.0037526400000000033,0.0076929120000000005,1.1567795156388962,9.300403998627473,18.99271868132168,0.30294062016000006,0.014542221579952181,1.0,0.0,0.0,0.0
"{""U"": 0.964116, ""V"": 0.035884}",III,H,0.08683927999999999,0.008971,0.015286583999999997,1.2856356953808572,9.418779284217793,18.743074528552754,0.69192677088,0.0263643158834354,0.0,0.0,1.0,0.0
"{""Ru"": 0.053423000000000005, ""U"": 0.946577}",II,H,0.0,0.04380686000000002,0.04444793599999999,1.7332470189565776,9.98335889658587,18.810559199546365,1.5170694921300003,0.031953950683029406,0.0,1.0,0.0,0.0
"{""U"": 0.933255, ""V"": 0.066745}",III,H,0.1615229,0.01668625,0.028433369999999996,2.0380665542459386,9.738312838054876,18.466415596739647,1.2458020994999999,0.03553160969467978,0.0,0.0,1.0,0.0
"{""Nb"": 0.120337, ""U"": 0.879663}",I,H,0.13598080999999998,0.026474140000000024,0.051383899000000004,3.0561923370457764,9.847466781329034,17.94645204675074,-0.423424025724,0.027387578284472316,1.0,0.0,0.0,0.0
"{""Mo"": 0.097, ""U"": 0.903}",I,H,0.097,0.07566000000000003,0.06392300000000001,2.6475172130303446,10.889378539078598,18.39860259773078,-0.4379550000000001,0.032596368299371056,1.0,0.0,0.0,0.0
"{""U"": 0.967848, ""V"": 0.032152}",III,H,0.07780784,0.008038,0.013696751999999998,1.1817930366853213,9.380138306189863,18.776142953864365,0.62236497792,0.024990752766190463,0.0,0.0,1.0,0.0
"{""Ti"": 0.074223, ""U"": 0.862628, ""V"": 0.063149}",II,M,0.29087536,0.02766293000000001,0.05013327299999999,4.114899938230979,9.797631778687611,17.542778618036536,2.2325907797779996,0.03694333464339105,0.0,1.0,0.0,0.0
"{""Ta"": 0.032343, ""U"": 0.967657}",I,H,0.0,0.003881160000000003,0.007956377999999998,1.1871945894968188,9.309074406954135,18.990485570109065,0.31296930350999996,0.01478229068361779,1.0,0.0,0.0,0.0
"{""Mn"": 0.037380000000000004, ""U"": 0.96262}",III,H,0.0,0.006354600000000006,0.019474980000000006,1.3263019280170487,9.047237790232186,19.057646116893515,0.0,0.035509852472938974,0.0,0.0,1.0,0.0
"{""U"": 0.933967, ""V"": 0.06603300000000001}",III,H,0.15979986000000002,0.016508250000000002,0.028130058,2.0224179794040844,9.73094081866691,18.472863660957028,1.2334528582200002,0.03535148092316677,0.0,0.0,1.0,0.0
"{""Fe"": 0.04149, ""U"": 0.95851}",III,H,0.0,0.018670500000000007,0.02543337,1.4354194004472447,9.66669158966101,18.789500135904635,0.5965286984999999,0.03865856817561177,0.0,0.0,1.0,0.0
"{""Mn"": 0.026971, ""U"": 0.973029}",III,H,0.0,0.004585070000000004,0.014051891000000002,1.0313517311937181,9.047237790232186,19.057646116893515,0.0,0.030266888449279966,0.0,0.0,1.0,0.0
"{""Fe"": 0.021444, ""Mn"": 0.027106, ""U"": 0.95145}",III,H,0.0,0.014257820000000008,0.027267398000000005,1.8918079302596322,9.376321026606341,18.91640358528717,0.30604340700000005,0.04094381744099147,0.0,0.0,1.0,0.0
