composition,element_system,source,phase,functional,mo_equivalent,lattice_distortion,allen_chi_diff,vec,cluster_I,cluster_II,cluster_III,cluster_IV,label
"{""Mo"": 0.119, ""U"": 0.881}",Mo-U,experimental,I,,0.119,0.035748226623397175,0.078421,6.0,1.0,0.0,0.0,0.0,H
"{""U"": 0.975674, ""V"": 0.024326}",U-V,experimental,III,,0.05886892,0.0218010919835317,0.010362875999999998,5.975674,0.0,0.0,1.0,0.0,H
"{""Al"": 0.011151000000000001, ""Ta"": 0.060583, ""U"": 0.928266}",Al-Ta-U,experimental,IV,,0.0,0.021633233143656574,0.019218855,5.905964000000001,0.0,0.8445507012016618,0.0,0.15544929879833833,H
"{""Al"": 0.017058, ""Nb"": 0.040827999999999996, ""U"": 0.942114}",Al-Nb-U,experimental,IV,,0.04613563999999999,0.019554975953728324,0.024035002,5.907998,0.7053173478906817,0.0,0.0,0.2946826521093184,H
"{""Mo"": 0.051737, ""U"": 0.948263}",Mo-U,experimental,I,,0.051737,0.024274194665693007,0.034094683,6.0,1.0,0.0,0.0,0.0,H
"{""Mo"": 0.110099, ""U"": 0.781239, ""Zr"": 0.108662}",Mo-U-Zr,experimental,I,,0.2296272,0.036307437714815385,0.091353767,5.7826759999999995,0.5032844062698562,0.49671559373014385,0.0,0.0,M
"{""Ta"": 0.031272, ""U"": 0.968728}",Ta-U,experimental,I,,0.0,0.014542221579952181,0.0076929120000000005,5.9687280000000005,0.0,1.0,0.0,0.0,H
"{""U"": 0.964116, ""V"": 0.035884}",U-V,experimental,III,,0.08683927999999999,0.0263643158834354,0.015286583999999997,5.964116000000001,0.0,0.0,1.0,0.0,H
"{""Ru"": 0.053423000000000005, ""U"": 0.946577}",Ru-U,experimental,II,,0.0,0.031953950683029406,0.04444793599999999,6.106846,1.0,0.0,0.0,0.0,H
"{""U"": 0.933255, ""V"": 0.066745}",U-V,experimental,III,,0.1615229,0.03553160969467978,0.028433369999999996,5.933255,0.0,0.0,1.0,0.0,H
"{""Nb"": 0.120337, ""U"": 0.879663}",Nb-U,experimental,I,,0.13598080999999998,0.027387578284472316,0.051383899000000004,5.879663,1.0,0.0,0.0,0.0,H
"{""Mo"": 0.097, ""U"": 0.903}",Mo-U,experimental,I,,0.097,0.032596368299371056,0.06392300000000001,6.0,1.0,0.0,0.0,0.0,H
"{""U"": 0.967848, ""V"": 0.032152}",U-V,experimental,III,,0.07780784,0.024990752766190463,0.013696751999999998,5.967848,0.0,0.0,1.0,0.0,H
"{""Ti"": 0.074223, ""U"": 0.862628, ""V"": 0.063149}",Ti-U-V,experimental,II,,0.29087536,0.03694333464339105,0.05013327299999999,5.788404999999999,0.0,0.5403066127012783,0.4596933872987217,0.0,M
"{""Ta"": 0.032343, ""U"": 0.967657}",Ta-U,experimental,I,,0.0,0.01478229068361779,0.007956377999999998,5.967657,0.0,1.0,0.0,0.0,H
"{""Mn"": 0.037380000000000004, ""U"": 0.96262}",Mn-U,experimental,III,,0.0,0.035509852472938974,0.019474980000000006,6.03738,0.0,0.0,1.0,0.0,H
"{""U"": 0.933967, ""V"": 0.06603300000000001}",U-V,experimental,III,,0.15979986000000002,0.03535148092316677,0.028130058,5.933967,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.04149, ""U"": 0.95851}",Fe-U,experimental,III,,0.0,0.03865856817561177,0.02543337,6.08298,0.0,0.0,1.0,0.0,H
"{""Mn"": 0.026971, ""U"": 0.973029}",Mn-U,experimental,III,,0.0,0.030266888449279966,0.014051891000000002,6.0269710000000005,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.021444, ""Mn"": 0.027106, ""U"": 0.95145}",Fe-Mn-U,experimental,III,,0.0,0.04094381744099147,0.027267398000000005,6.069994,0.0,0.0,1.0,0.0,H
"{""Cr"": 0.025105, ""U"": 0.974895}",Cr-U,experimental,I,,0.0,0.028206800814108042,0.010845359999999998,5.999999999999999,0.0,0.0,1.0,0.0,H
"{""Ta"": 0.09768600000000001, ""U"": 0.902314}",Ta-U,experimental,I,,0.0,0.02494385698573031,0.024030756,5.902314,0.0,1.0,0.0,0.0,H
"{""Nb"": 0.073496, ""U"": 0.926504}",Nb-U,experimental,I,,0.08305048,0.02187974936681103,0.03138279200000001,5.9265039999999996,1.0,0.0,0.0,0.0,H
"{""U"": 0.900266, ""Zr"": 0.099734}",U-Zr,experimental,II,,0.10970740000000001,0.0076636072606365326,0.017253982000000005,5.800532,0.0,1.0,0.0,0.0,M
