composition,formation_energy,lattice_distortion,source,functional,calculation_id
"{""Al"": 0.009547, ""U"": 0.990453}",-0.180013,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_242
"{""Al"": 0.019466, ""U"": 0.980534}",-0.177381,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_331
"{""Cr"": 0.072616, ""Fe"": 0.048619, ""U"": 0.878765}",0.437738,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Fe5_U88_286
"{""Fe"": 0.040701, ""U"": 0.959299}",-0.037826,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_U96_181
"{""Nb"": 0.130037, ""Si"": 0.010615, ""U"": 0.859348}",0.282323,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb13_Si1_U86_293
"{""Ti"": 0.10804599999999999, ""U"": 0.891954}",0.111361,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti11_U89_231
"{""Fe"": 0.039174, ""Nb"": 0.140527, ""U"": 0.820299}",0.301256,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_Nb14_U82_249
"{""Nb"": 0.106052, ""U"": 0.741131, ""Zr"": 0.152817}",0.334378,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb11_U74_Zr15_144
"{""U"": 0.940963, ""Zr"": 0.059037}",0.320037,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U94_Zr6_87
"{""Nb"": 0.07258300000000001, ""U"": 0.9274169999999999}",0.273656,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb7_U93_64
"{""Ti"": 0.037464, ""U"": 0.9625360000000001}",0.107375,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti4_U96_271
"{""Fe"": 0.035859, ""U"": 0.91833, ""Zr"": 0.045811}",0.364018,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_U92_Zr5_268
"{""Al"": 0.02997, ""U"": 0.907467, ""Zr"": 0.062563}",0.333208,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U91_Zr6_90
"{""Si"": 0.014362, ""U"": 0.9534590000000001, ""Zr"": 0.032179}",0.334180,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U95_Zr3_221
"{""Mn"": 0.025348, ""U"": 0.903087, ""Zr"": 0.071565}",0.334765,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn3_U90_Zr7_36
"{""Ru"": 0.075655, ""U"": 0.848445, ""V"": 0.0759}",0.285161,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru8_U85_V8_243
"{""Ni"": 0.017, ""U"": 0.983}",-0.235131,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ni2_U98_235
"{""Nb"": 0.011, ""U"": 0.989}",0.268377,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb1_U99_309
